nazev,obor,mesto,adresa,telefon,web,web_status,priority,rating,stav,zdroj
Instalater24 - Instalatéři Praha pobočka Praha 2,instalatér,Praha,"Mánesova 1447/71, 120 00 Praha 2-Vinohrady, Česko",+420228229508,,bez_webu,1,5,novy,serper_maps
Instalatér s.r.o.,instalatér,Praha,"Křižíkova 44, 186 00 Praha 8-Karlín, Česko",+420776546633,,bez_webu,1,4.8,novy,serper_maps
Instalatérství Filip Měšťák,instalatér,Praha,"Kozí 110 00/13/858, 1 Staré Město, Česko",+420604981943,,bez_webu,1,4.9,novy,serper_maps
Instalatéři Praha,instalatér,Praha,Praha,608698484,,bez_webu,1,,novy,serper_organic:https://www.instalaterske-prace-praha.cz/
Prima Servis Instalatéři Praha,instalatér,Praha,Praha,+420608415222,,bez_webu,1,,novy,serper_organic:https://primaservis.cz/
INSTALATÉR PRAHA 5 | INSTALATÉŘI S PRAXÍ | 604 490 775,instalatér,Praha,Praha,+420604490775,,bez_webu,1,,novy,serper_organic:https://www.instalaterpraha.eu/
Instalatéři - pohotovost instalatér Praha,instalatér,Praha,Praha,608698484,,bez_webu,1,,novy,serper_organic:https://www.pohotovost-instalater.cz/
Instalatéři Praha- plynaři nonstop - topenáři Praha - havarijní ...,instalatér,Praha,Praha,+420739024696,,bez_webu,1,,novy,serper_organic:https://www.vodotopo-riha.cz/
abc-instalateri.cz,instalatér,Praha,Praha,+420732738983,,bez_webu,1,,novy,serper_organic:https://www.abc-instalateri.cz/
Rostislav Fukač,elektrikář,Brno,"Vídeňská 271, 639 00 Brno-střed, Česko",+420605801131,,bez_webu,1,5,novy,serper_maps
ELEKTRIKÁŘ BRNO: Petr Špetlík - Elektrikář - 733 609 407,elektrikář,Brno,Brno,+420733609407,,bez_webu,1,,novy,serper_organic:https://www.elektrikarbrno.cz/
"Elektro pohotovost Brno: Elektro pohotovost nonstop, havárie ...",elektrikář,Brno,Brno,732483272,,bez_webu,1,,novy,serper_organic:https://pohotovostelektrobrno.cz/
"Elektrikář Brno | Kvalitně, rychle a levně | Nově express na ...",elektrikář,Brno,Brno,+420776205549,,bez_webu,1,,novy,serper_organic:https://elektrohoffmann.cz/
"Nonstop Elektrikář Brno: Pohotovost, havárie a revize Elektra ...",elektrikář,Brno,Brno,+420722065954,,bez_webu,1,,novy,serper_organic:https://nonstop-elektrikar.cz/
Elektroinstalace Brno,elektrikář,Brno,Brno,+420775356885,,bez_webu,1,,novy,serper_organic:https://elektroinbrno.cz/
Elektrikář Brno nonstop 24/7 – Michal Tyc | Havarijní výjezd,elektrikář,Brno,Brno,+420722065954,,bez_webu,1,,novy,serper_organic:https://www.nonstopelektrikar.cz/
"Elektrikář Brno, Znojmo, Miroslav | Nové elektrické rozvody",elektrikář,Brno,Brno,+420774321190,,bez_webu,1,,novy,serper_organic:https://www.eltrigo.cz/elektrikar-brno/
Malíř a natěrač Ostrava,malíř natěrač,Ostrava,"Ocelářská 217/10, 703 00 Ostrava 3, Česko",+420732360445,,bez_webu,1,5,novy,serper_maps
Malíři natěrači Ostrava,malíř natěrač,Ostrava,"Pustkovecká 28, 708 00 Ostrava 8, Česko",+420720736490,,bez_webu,1,5,novy,serper_maps
Kontakty,malíř natěrač,Ostrava,Ostrava,702007250,,bez_webu,1,,novy,serper_organic:https://www.maliri-nateraci.cz/kontakty
Kontak Ostrava | MALÍŘI NATĚRAČI CZ,malíř natěrač,Ostrava,Ostrava,777156408,,bez_webu,1,,novy,serper_organic:https://ostrava.maliri-nateraci.cz/kontakty
MALÍŘI OSTRAVA | 739 175 990,malíř natěrač,Ostrava,Ostrava,+420739175990,,bez_webu,1,,novy,serper_organic:https://www.maliriostrava.net/
"MALÍŘI NATĚRAČI CZ s.r.o., Ostrava, Vítkovice - Živéfirmy.cz",malíř natěrač,Ostrava,Ostrava,777156631,,bez_webu,1,,novy,serper_organic:https://www.zivefirmy.cz/maliri-nateraci-cz_f1023907
Řeháček | Malíř pokojů,malíř natěrač,Ostrava,Ostrava,791102558,,bez_webu,1,,novy,serper_organic:https://www.malir-ostrava.cz/
Stavební Klempířství Čechák Petr,klempíř,Plzeň,"Nárožní 394, 301 00 Plzeň 1, Česko",+420377445439,,bez_webu,1,5,novy,serper_maps
Petr Milčic - Proffi Střecha Plzeň,klempíř,Plzeň,"Ječná 222, 326 00 Plzeň 2-Slovany, Česko",+420736608867,,bez_webu,1,4.7,novy,serper_maps
Střechy Hnát,klempíř,Plzeň,"Na Dílcích, 326 00 Plzeň 2-Slovany-Koterov, Česko",+420603474570,,bez_webu,1,5,novy,serper_maps
Klempířství Pfp Protivínský Zdeněk,klempíř,Plzeň,"Železniční 2660, 326 00 Plzeň 2-Slovany, Česko",+420377420574,,bez_webu,1,,novy,serper_maps
Beneš-střecha S.r.o.,klempíř,Plzeň,"39, Meduňková 305, 301 00 Plzeň 10-Lhota, Česko",+420603862118,,bez_webu,1,3.9,novy,serper_maps
Zdeněk Protivínský,klempíř,Plzeň,"Waltrova 938, 318 00 Plzeň 3, Česko",+420377420574,,bez_webu,1,,novy,serper_maps
Pokrývačství,klempíř,Plzeň,"Čelakovského 765, 301 00 Plzeň 3-Jižní Předměstí, Česko",+420605335880,,bez_webu,1,,novy,serper_maps
Karel Pálek,klempíř,Plzeň,"Rabštejnská 1599, 323 00 Plzeň 1, Česko",+420733653609,,bez_webu,1,,novy,serper_maps
Šimandl Petr,klempíř,Plzeň,"Gerská 1241, 323 00 Plzeň 1, Česko",+420724304201,,bez_webu,1,5,novy,serper_maps
Martin Tejml - CITO - střecha od A do Z,klempíř,Plzeň,"U Radbuzy 790, 301 00 Plzeň 3, Česko",+420377232005,,bez_webu,1,5,novy,serper_maps
Klempířské práce - LÖW - střechy,klempíř,Plzeň,Plzeň,602163578,,bez_webu,1,,novy,serper_organic:https://www.lowstrechy.cz/klempirske-prace
PFP střechy Plzeň - pokrývačské a klempířské práce,klempíř,Plzeň,Plzeň,+420377420574,,bez_webu,1,,novy,serper_organic:https://www.pfpstrechy.cz/
"klempíř Plzeň, klempířství Plzeň, pokrývač Plzeň, tesař Plzeň ...",klempíř,Plzeň,Plzeň,776387539,,bez_webu,1,,novy,serper_organic:http://klempirstviplzen.webmium.com/
"Klempíři a pokrývači Plzeň, Plzeňský kraj",klempíř,Plzeň,Plzeň,+420775095551,,bez_webu,1,,novy,serper_organic:https://www.regionplzen.cz/katalog/sluzby/remesla/klempiri-a
"Klempíři, klempířství okres Plzeň-sever",klempíř,Plzeň,Plzeň,+420388903101,,bez_webu,1,,novy,serper_organic:https://www.ceskestavby.cz/firmy/klempiri/okres-plzen-sever/
Truhlář Zdeněk Doležal,truhlář,Liberec,Liberec,+420602202822,,bez_webu,1,3.5,novy,serper_maps
Robert Brand,truhlář,Liberec,"Plátenická 499, 460 01 Liberec, Česko",+420604169967,,bez_webu,1,4.5,novy,serper_maps
Truhlářství Lukavec,truhlář,Liberec,"Turnovská 259, 463 12 Liberec-Doubí, Česko",+420603216887,,bez_webu,1,2.5,novy,serper_maps
Truhlářství Hajlek,truhlář,Liberec,"K Bucharce 105, 460 08 Liberec-Horní Hanychov, Česko",+420777275130,,bez_webu,1,,novy,serper_maps
Truhlárna - VŠP Liberec,truhlář,Liberec,"Bendlova Budova E Technické univerzity v Liberci, velká vrata z, Bendlova, 460 01 Liberec, Česko",+420485353104,,bez_webu,1,,novy,serper_maps
Kontakty - Truhlářství Liberec,truhlář,Liberec,Liberec,603529604,,bez_webu,1,,novy,serper_organic:http://www.truhlarstviliberec.cz/kontakty/
"Truhlářství, kuchyně, vestavěné skříně Liberec - kuchyně na ...",truhlář,Liberec,Liberec,+420605723032,,bez_webu,1,,novy,serper_organic:https://www.truhlarstvicupr.cz/
Kontaktní informace - Zakázkové truhlářství Liberec,truhlář,Liberec,Liberec,+420485103281,,bez_webu,1,,novy,serper_organic:https://www.vdtruhlarstvi.cz/kontakt.html
Kontaktní informace truhlářství Liberec,truhlář,Liberec,Liberec,737915619,,bez_webu,1,,novy,serper_organic:https://www.paur-cejka.cz/kontakt/
Kontakty | Truhlářství Martin Ebert Liberec truhlářská vároba ...,truhlář,Liberec,Liberec,+420777936231,,bez_webu,1,,novy,serper_organic:https://www.truhlarstvi-ebert.cz/cs/kontakty/
Kontakt | Spolehlivý truhlář z Liberce - Tomáš Pavlů,truhlář,Liberec,Liberec,+420773676007,,bez_webu,1,,novy,serper_organic:https://www.truhlarpavlu.cz/kontakt
Obkladačské a Zednické Práce Ladislav Střelák,zedník,Olomouc,"Rokycanova 517/3, 779 00 Olomouc 9-Nové Sady, Česko",+420725571540,,bez_webu,1,4.4,novy,serper_maps
Roman Ferenc,zedník,Olomouc,"Stiborova 604, 779 00 Olomouc 9, Česko",+420776209052,,bez_webu,1,4.5,novy,serper_maps
Zednictví Horák Tomáš,zedník,Olomouc,"Blanická 388, 779 00 Olomouc 9, Česko",+420585230948,,bez_webu,1,,novy,serper_maps
